iter	RMSE
0	14.19028592
1	13.28708711
2	12.44166766
3	11.65069571
4	11.00606451
5	10.4747653
6	9.921866086
7	9.476128405
8	9.053465197
9	8.619186693
10	8.24566915
11	7.932958713
12	7.665266209
13	7.427639766
14	7.180556589
15	6.960139324
16	6.785373935
17	6.623099856
18	6.463408758
19	6.323646566
20	6.191312611
21	6.078326215
22	5.964415627
23	5.878269158
24	5.794388836
25	5.744243848
26	5.680367423
27	5.626059477
28	5.579500061
29	5.541762724
30	5.495128371
31	5.45490141
32	5.416133172
33	5.384619592
34	5.35389958
35	5.319349966
36	5.293293406
37	5.272460894
38	5.25422213
39	5.234758612
40	5.220032528
41	5.206015267
42	5.189005579
43	5.177809069
44	5.144333253
45	5.126355669
46	5.107629928
47	5.095665612
48	5.078619636
49	5.060352767
50	5.050652098
51	5.045224691
52	5.034366106
53	5.023334613
54	5.008487974
55	4.985440537
56	4.979593256
57	4.969805046
58	4.961739658
59	4.955179227
60	4.945426819
61	4.925466052
62	4.914686167
63	4.90570595
64	4.903843654
65	4.885166309
66	4.883555558
67	4.871913963
68	4.866064379
69	4.861616191
70	4.850469762
71	4.839052356
72	4.828735703
73	4.822653566
74	4.811121094
75	4.806490959
76	4.796887525
77	4.79437107
78	4.785519135
79	4.773844022
80	4.764779571
81	4.752532466
82	4.745160678
83	4.734848856
84	4.726014158
85	4.718650489
86	4.712468726
87	4.708785489
88	4.702319193
89	4.693865247
90	4.686490103
91	4.675352251
92	4.670851121
93	4.661252675
94	4.653860802
95	4.645497489
96	4.631507135
97	4.629354005
98	4.614015929
99	4.611631298
