iter	Passed	Remaining
0	0	26
1	0	31
2	0	28
3	1	28
4	1	28
5	1	28
6	2	29
7	2	29
8	3	36
9	3	35
10	4	34
11	4	33
12	4	32
13	5	31
14	5	30
15	5	29
16	5	29
17	6	28
18	6	28
19	6	27
20	7	26
21	7	25
22	7	25
23	7	24
24	8	24
25	8	23
26	8	23
27	8	22
28	8	22
29	9	21
30	9	21
31	9	20
32	9	20
33	10	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	11	17
41	12	16
42	12	16
43	12	15
44	12	15
45	13	15
46	13	14
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	13
53	14	12
54	15	12
55	15	12
56	15	11
57	15	11
58	16	11
59	16	10
60	16	10
61	16	10
62	17	10
63	17	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	7
70	18	7
71	19	7
72	19	7
73	19	6
74	19	6
75	20	6
76	20	6
77	20	5
78	20	5
79	21	5
80	21	5
81	21	4
82	21	4
83	22	4
84	22	3
85	22	3
86	22	3
87	23	3
88	23	2
89	23	2
90	23	2
91	24	2
92	24	1
93	24	1
94	24	1
95	25	1
96	25	0
97	25	0
98	26	0
99	26	0
